retweet_count,favorite_count,user_followers_count,date
54,170,28362,2020-04-28
104,417,1780,2020-04-21
277,449,77149,2020-04-09
26,55,74416,2020-04-27
1803,2232,1834292,2020-04-17
54,173,78757,2020-04-29
505,1014,214445,2020-04-26
192,326,427618,2020-04-07
27,89,85827,2020-04-26
1763,6573,12176957,2020-04-29
66,279,5153,2020-04-26
1123,3770,361343,2020-04-22
1249,1974,708551,2020-04-26
10,27,5429,2020-04-26
90,135,1493279,2020-03-06
3,5,668,2020-04-23
89,183,13022,2020-04-22
3,36,2083,2020-04-28
5,5,36380,2020-04-01
194,1227,217215,2020-04-28
9,36,18410,2020-05-11
30,26,9015,2020-04-27
388,431,72653,2020-04-06
29,46,1086274,2020-04-08
2,4,78,2020-03-28
324,2004,3072028,2020-03-25
959,802,1711477,2020-04-01
11,15,3462,2020-04-13
34,64,1309479,2020-04-12
0,6,125310,2020-04-11
2,11,1702,2020-04-12
334,580,214445,2020-04-05
59,978,125310,2020-04-11
145,864,3072028,2020-04-09
1196,1796,442388,2020-04-11
760,1087,875,2020-04-11
620,705,1711477,2020-04-10
1055,5561,2305495,2020-03-27
120,255,421581,2020-04-02
33850,159674,9809674,2020-04-11
583,1141,37711,2020-04-12
317,1929,247052,2020-04-15
1192,1963,16268,2020-04-13
223,411,1244665,2020-04-16
670,2665,16135872,2020-04-10
671,1783,79106,2020-04-11
164,134,22613,2020-03-18
592,960,5272637,2020-04-16
167,502,1129851,2020-04-13
2,6,2199,2020-04-21
75,100,270183,2020-04-11
8,5,399,2020-04-10
331,1768,4181120,2020-04-15
4288,12699,732658,2020-04-10
45,79,131571,2020-04-21
1214,620,8986,2020-04-19
162,179,88788,2020-04-24
69,173,1871754,2020-04-23
241,1196,7420140,2020-04-20
5969,8459,10378,2020-04-21
0,10,1064,2020-04-10
16,106,561351,2020-04-10
363,1992,3379016,2020-04-15
4072,15673,3681531,2020-03-25
35,99,28362,2020-04-16
7,12,102,2020-04-19
1,1,6338,2020-04-23
77,93,4670,2020-04-18
0,6,11520,2020-04-15
85,274,190,2020-04-11
40,241,561351,2020-04-09
20,25,17984,2020-04-16
55,91,128739,2020-04-05
1751,5397,60993,2020-04-04
4,5,399,2020-04-10
191,1798,137866,2020-04-22
4,4,39,2020-04-10
11228,208520,16499589,2020-03-28
8,15,94095,2020-04-01
28,152,17656,2020-04-20
0,0,286,2020-04-18
75,193,12801,2020-04-16
17,56,12115,2020-04-20
0,0,8,2020-04-20
13,25,767197,2020-04-15
7,55,26,2020-04-11
3278,16851,2120510,2020-03-29
334,2903,1452152,2020-03-17
4,24,990,2020-04-15
19,74,334327,2020-04-15
1,0,697,2020-04-15
1137,2829,27174,2020-03-30
353,675,214445,2020-04-02
187,937,445551,2020-04-05
0,2,702,2020-04-08
58,92,107150,2020-04-02
8,21,76823,2020-04-03
735,827,244385,2020-04-09
5088,6283,16249,2020-03-12
3816,3059,7834,2020-04-04
854,1411,1645616,2020-04-09
1,3,6831,2020-04-07
414,1768,835659,2020-04-09
0,0,25,2020-04-03
18,54,469,2020-04-07
3608,6445,362660,2020-04-06
2,3,226,2020-04-08
4,12,4025,2020-04-12
59,67,23947,2020-04-06
236,869,188809,2020-04-04
204,325,404737,2020-04-16
46,63,270183,2020-04-09
145,347,13605,2020-04-08
271,1335,393828,2020-04-11
0,1,30,2020-03-20
685,927,5083,2020-04-06
23,220,6084,2020-04-06
31,29,12473,2020-03-16
62,175,95004,2020-05-21
125,568,73917,2020-04-08
1,0,17089,2020-03-20
53,118,129261,2020-04-07
8,32,3244957,2020-04-09
1746,2947,1218976,2020-04-08
62,313,61895,2020-04-07
45,116,34358,2020-04-07
764,610,22613,2020-03-18
35,53,23868,2020-04-03
12,16,35109,2020-04-08
208,985,156473,2020-04-13
534,1786,1151190,2020-03-29
345,1884,150328,2020-04-05
1168,2282,64596,2020-04-13
306,347,243743,2020-04-06
78,378,228929,2020-04-05
2310,38496,6780365,2020-04-13
117,290,15924,2020-03-30
7,16,18467,2020-04-07
